,lat_min,lon_min,lat_mid,lon_mid,lat_max,lon_max
79,440151.0,4981607.0,440302.0,4981758.0,440453.0,4981909.0
80,440151.0,4981909.0,440302.0,4982060.0,440453.0,4982211.0
81,440151.0,4982211.0,440302.0,4982362.0,440453.0,4982513.0
82,440151.0,4982513.0,440302.0,4982664.0,440453.0,4982815.0
83,440151.0,4982815.0,440302.0,4982966.0,440453.0,4983117.0
84,440151.0,4983117.0,440302.0,4983268.0,440453.0,4983419.0
85,440151.0,4983419.0,440302.0,4983570.0,440453.0,4983721.0
86,440151.0,4983721.0,440302.0,4983872.0,440453.0,4984023.0
87,440151.0,4984023.0,440302.0,4984174.0,440453.0,4984325.0
88,440151.0,4984325.0,440302.0,4984476.0,440453.0,4984627.0
89,440151.0,4984627.0,440302.0,4984778.0,440453.0,4984929.0
90,440151.0,4984929.0,440302.0,4985080.0,440453.0,4985231.0
91,440151.0,4985231.0,440302.0,4985382.0,440453.0,4985533.0
92,440151.0,4985533.0,440302.0,4985684.0,440453.0,4985835.0
93,440151.0,4985835.0,440302.0,4985986.0,440453.0,4986137.0
94,440151.0,4986137.0,440302.0,4986288.0,440453.0,4986439.0
95,440151.0,4986439.0,440302.0,4986590.0,440453.0,4986741.0
96,440151.0,4986741.0,440302.0,4986892.0,440453.0,4987043.0
97,440151.0,4987043.0,440302.0,4987194.0,440453.0,4987345.0
98,440151.0,4987345.0,440302.0,4987496.0,440453.0,4987647.0
99,440151.0,4987647.0,440302.0,4987798.0,440453.0,4987949.0
100,440453.0,4972849.0,440604.0,4973000.0,440755.0,4973151.0
101,440453.0,4973151.0,440604.0,4973302.0,440755.0,4973453.0
102,440453.0,4973453.0,440604.0,4973604.0,440755.0,4973755.0
103,440453.0,4973755.0,440604.0,4973906.0,440755.0,4974057.0
104,440453.0,4974057.0,440604.0,4974208.0,440755.0,4974359.0
105,440453.0,4974359.0,440604.0,4974510.0,440755.0,4974661.0
106,440453.0,4974661.0,440604.0,4974812.0,440755.0,4974963.0
